nohup: ignoring input
 * Serving Flask app 'main'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://169.254.0.21:5001
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 217-949-798
127.0.0.1 - - [17/Aug/2025 13:53:00] "GET / HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:07] "HEAD / HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:07] "GET / HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:11] "GET / HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:11] "GET /static/portfolio_fix.js HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:11] "GET /static/assets/logo-approved.png HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:11] "[33mGET /assets/hero-bg.jpg HTTP/1.1[0m" 404 -
10.218.171.1 - - [17/Aug/2025 13:53:11] "GET /api/background HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:11] "GET /api/categories HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:11] "GET /api/featured HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:11] "GET /api/portfolio HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:11] "GET /favicon.ico HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:12] "GET /assets/a1801164-0d42-4e25-ad38-754e2315de5c.jpg HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:12] "GET /assets/b221528c-a841-4458-a35a-904997d7813c.jpg HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:16] "GET /assets/0fc8399d-b325-48c7-b883-303db722e933.jpg HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:16] "GET /assets/c384c832-8eae-4ae5-ae43-bedbf399faa8.jpg HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:18] "GET /assets/c55c35d7-ebd0-46b0-be27-b3b8e8f3011b.jpg HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:27] "GET /assets/08028e51-eb08-4823-9918-734077ef05fb.jpg HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:27] "GET /assets/3d6fc821-1314-48e2-ab6a-de85397d2311.jpg HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:27] "GET /assets/c9448702-a993-4c0b-a865-bc9052e78ab2.png HTTP/1.1" 200 -
10.218.171.1 - - [17/Aug/2025 13:53:27] "[33mGET /assets/b10d28c8-d190-486c-93b8-64857fe78581.jpg HTTP/1.1[0m" 404 -
10.218.171.1 - - [17/Aug/2025 13:53:28] "[33mGET /assets/f5904116-66cb-4363-a83e-dcb62c865407.jpg HTTP/1.1[0m" 404 -
10.218.171.1 - - [17/Aug/2025 13:53:28] "[33mGET /assets/28a46fd2-ad95-42ed-9063-e50ea5e8e2e7.jpg HTTP/1.1[0m" 404 -
10.218.171.1 - - [17/Aug/2025 13:53:28] "[33mGET /assets/2c5074fd-efc3-4d25-b86b-19c0765c6bca.jpg HTTP/1.1[0m" 404 -
10.218.171.1 - - [17/Aug/2025 13:53:28] "[33mGET /assets/2b689b88-ecfa-407a-8f0c-5a8aa8740cfb.jpg HTTP/1.1[0m" 404 -
10.218.171.1 - - [17/Aug/2025 13:53:28] "[33mGET /assets/e8a2180b-6216-4898-bf44-e770f634c094.jpg HTTP/1.1[0m" 404 -
10.187.78.1 - - [17/Aug/2025 14:39:21] "GET / HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:21] "GET /static/assets/logo-approved.png HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:21] "[33mGET /assets/hero-bg.jpg HTTP/1.1[0m" 404 -
10.187.78.1 - - [17/Aug/2025 14:39:21] "GET /static/portfolio_fix.js HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:22] "GET /api/categories HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:22] "GET /api/background HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:22] "GET /api/featured HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:22] "GET /api/portfolio HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:22] "[36mGET / HTTP/1.1[0m" 304 -
10.187.78.1 - - [17/Aug/2025 14:39:22] "GET /assets/b221528c-a841-4458-a35a-904997d7813c.jpg HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:22] "GET /favicon.ico HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:22] "GET /assets/0fc8399d-b325-48c7-b883-303db722e933.jpg HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:22] "[36mGET /static/portfolio_fix.js HTTP/1.1[0m" 304 -
10.187.78.1 - - [17/Aug/2025 14:39:22] "[36mGET /static/assets/logo-approved.png HTTP/1.1[0m" 304 -
10.187.78.1 - - [17/Aug/2025 14:39:22] "GET /assets/c384c832-8eae-4ae5-ae43-bedbf399faa8.jpg HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "[33mGET /assets/hero-bg.jpg HTTP/1.1[0m" 404 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "GET /api/background HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "GET /api/categories HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "GET /api/featured HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "GET /api/portfolio HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "[36mGET /assets/c384c832-8eae-4ae5-ae43-bedbf399faa8.jpg HTTP/1.1[0m" 304 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "[36mGET /assets/0fc8399d-b325-48c7-b883-303db722e933.jpg HTTP/1.1[0m" 304 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "[36mGET /assets/b221528c-a841-4458-a35a-904997d7813c.jpg HTTP/1.1[0m" 304 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "GET /assets/a1801164-0d42-4e25-ad38-754e2315de5c.jpg HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "GET /assets/08028e51-eb08-4823-9918-734077ef05fb.jpg HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "GET /assets/3d6fc821-1314-48e2-ab6a-de85397d2311.jpg HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "GET /assets/c9448702-a993-4c0b-a865-bc9052e78ab2.png HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "[33mGET /assets/b10d28c8-d190-486c-93b8-64857fe78581.jpg HTTP/1.1[0m" 404 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "[33mGET /assets/f5904116-66cb-4363-a83e-dcb62c865407.jpg HTTP/1.1[0m" 404 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "GET /assets/c55c35d7-ebd0-46b0-be27-b3b8e8f3011b.jpg HTTP/1.1" 200 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "[33mGET /assets/28a46fd2-ad95-42ed-9063-e50ea5e8e2e7.jpg HTTP/1.1[0m" 404 -
10.187.78.1 - - [17/Aug/2025 14:39:23] "[33mGET /assets/2c5074fd-efc3-4d25-b86b-19c0765c6bca.jpg HTTP/1.1[0m" 404 -
